variant_id,pitch_um,connectivity,clb_num,dsp_num,mem_num,fanin,fanout
5um_bidir,5,bidir,12,31,36,64,64
5um_bidir,5,bidir,12,31,36,32,32
5um_bidir,5,bidir,12,31,36,16,16
5um_bidir,5,bidir,12,31,36,8,8
5um_bidir,5,bidir,12,31,36,4,4
5um_dir,5,unidir,12,31,36,64,64
5um_dir,5,unidir,12,31,36,32,32
5um_dir,5,unidir,12,31,36,16,16
5um_dir,5,unidir,12,31,36,8,8
5um_dir,5,unidir,12,31,36,4,4
10um_bidir,10,bidir,3,7,9,64,64
10um_bidir,10,bidir,3,7,9,32,32
10um_bidir,10,bidir,3,7,9,16,16
10um_bidir,10,bidir,3,7,9,8,8
10um_bidir,10,bidir,3,7,9,4,4
10um_dir,10,unidir,3,7,9,64,64
10um_dir,10,unidir,3,7,9,32,32
10um_dir,10,unidir,3,7,9,16,16
10um_dir,10,unidir,3,7,9,8,8
10um_dir,10,unidir,3,7,9,4,4
10um_reduced_bidir,10,bidir,1,2,3,64,64
10um_reduced_bidir,10,bidir,1,2,3,32,32
10um_reduced_bidir,10,bidir,1,2,3,16,16
10um_reduced_bidir,10,bidir,1,2,3,8,8
10um_reduced_bidir,10,bidir,1,2,3,4,4
10um_reduced_dir,10,unidir,1,2,3,64,64
10um_reduced_dir,10,unidir,1,2,3,32,32
10um_reduced_dir,10,unidir,1,2,3,16,16
10um_reduced_dir,10,unidir,1,2,3,8,8
10um_reduced_dir,10,unidir,1,2,3,4,4
25um_bidir,25,bidir,0.5,0.5,1.5,64,64
25um_bidir,25,bidir,0.5,0.5,1.5,32,32
25um_bidir,25,bidir,0.5,0.5,1.5,16,16
25um_bidir,25,bidir,0.5,0.5,1.5,8,8
25um_bidir,25,bidir,0.5,0.5,1.5,4,4
25um_dir,25,unidir,0.5,0.5,1.5,64,64
25um_dir,25,unidir,0.5,0.5,1.5,32,32
25um_dir,25,unidir,0.5,0.5,1.5,16,16
25um_dir,25,unidir,0.5,0.5,1.5,8,8
25um_dir,25,unidir,0.5,0.5,1.5,4,4
